outfall_structure,waterway_reach,open_timestamp,close_timestamp,river_segment_id
PULASKI RD PS (18E-PS),Cal Sag Ch,2013-04-17 00:01:00,2013-04-18 00:00:00,21
DS-N02,NBCR Upper (NSC Confluence),2013-04-17 14:55:00,2013-04-17 23:59:00,4
"DS-D47,50,51",Salt Cr,2013-04-17 15:12:00,2013-04-17 15:16:00,16
TG-I28 & I29,SB Chicago R,2013-04-17 15:28:00,2013-04-17 15:34:00,6
DS-N19,NBCR Upper (NSC Confluence),2013-04-17 15:40:00,2013-04-17 18:56:00,4
TG-I28 & I29,SB Chicago R,2013-04-17 15:40:00,2013-04-17 15:46:00,6
DS-N17,NBCR Upper (NSC Confluence),2013-04-17 15:41:00,2013-04-17 23:59:00,4
"DS-D47,50,51",Salt Cr,2013-04-17 15:41:00,2013-04-17 15:45:00,16
DS-N18,NBCR Upper (NSC Confluence),2013-04-17 15:42:00,2013-04-17 23:59:00,4
DS-N11,NBCR Upper (NSC Confluence),2013-04-17 15:42:00,2013-04-17 17:10:00,4
DS-N13R,NBCR Upper (NSC Confluence),2013-04-17 15:43:00,2013-04-17 23:59:00,4
DS-N16,NBCR Upper (NSC Confluence),2013-04-17 15:43:00,2013-04-17 16:19:00,4
DS-N10B,NBCR Upper (NSC Confluence),2013-04-17 15:44:00,2013-04-17 23:59:00,4
DS-N08,NBCR Upper (NSC Confluence),2013-04-17 15:47:00,2013-04-17 23:59:00,4
DS-M82,NBCR Lower (NSC Confluence),2013-04-17 15:48:00,2013-04-17 23:59:00,3
DS-M105W,NSC Upper (NSWRP),2013-04-17 15:50:00,2013-04-17 23:59:00,1
DS-M08,CSSC Lower (SWRP),2013-04-17 15:52:00,2013-04-17 23:59:00,9
TG-I28 & I29,SB Chicago R,2013-04-17 15:53:00,2013-04-17 15:58:00,6
DS-M109 N,NSC Upper (NSWRP),2013-04-17 15:58:00,2013-04-17 23:59:00,1
DS-M70,NBCR Lower (NSC Confluence),2013-04-17 15:58:00,2013-04-17 16:35:00,3
DS-D08,DesPlaines Middle,2013-04-17 15:58:00,2013-04-17 17:02:00,14
DS-M30,SF SB Chicago R,2013-04-17 15:59:00,2013-04-17 17:29:00,7
DS-M104,NSC Upper (NSWRP),2013-04-17 15:59:00,2013-04-17 19:49:00,1
DS-M73,NBCR Lower (NSC Confluence),2013-04-17 16:06:00,2013-04-17 19:07:00,3
DS-M88,NBCR Lower (NSC Confluence),2013-04-17 16:06:00,2013-04-17 23:59:00,3
DS-N03,NBCR Upper (NSC Confluence),2013-04-17 16:06:00,2013-04-17 20:04:00,4
DS-M79,NBCR Lower (NSC Confluence),2013-04-17 16:08:00,2013-04-17 23:59:00,3
DS-M13,CSSC Upper (SWRP),2013-04-17 16:08:00,2013-04-17 20:58:00,8
DS-M25,SB Chicago R,2013-04-17 16:08:00,2013-04-17 17:28:00,6
DS-M84,NBCR Lower (NSC Confluence),2013-04-17 16:10:00,2013-04-17 23:59:00,3
DS-M97,NSC Lower (NSWRP),2013-04-17 16:11:00,2013-04-17 18:52:00,2
DS-M03,CSSC Lower (SWRP),2013-04-17 16:12:00,2013-04-17 23:59:00,9
DS-N06,NBCR Upper (NSC Confluence),2013-04-17 16:15:00,2013-04-17 16:31:00,4
DS-M66,NBCR Lower (NSC Confluence),2013-04-17 16:20:00,2013-04-17 20:42:00,3
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-17 16:21:00,2013-04-17 23:59:00,3
DS-M86,NBCR Lower (NSC Confluence),2013-04-17 16:21:00,2013-04-17 18:04:00,3
DS-M20,CSSC Upper (SWRP),2013-04-17 16:24:00,2013-04-17 20:18:00,8
DS-M15,CSSC Upper (SWRP),2013-04-17 16:28:00,2013-04-17 23:59:00,8
DS-N04,NBCR Upper (NSC Confluence),2013-04-17 16:28:00,2013-04-17 18:02:00,4
DS-N09,NBCR Upper (NSC Confluence),2013-04-17 16:29:00,2013-04-17 17:14:00,4
WCPS (DS-D34-AI),Addison Cr,2013-04-17 16:30:00,2013-04-17 23:59:00,23
TG-I28 & I29,SB Chicago R,2013-04-17 16:32:00,2013-04-17 16:37:00,6
DS-N07,NBCR Upper (NSC Confluence),2013-04-17 16:35:00,2013-04-17 18:06:00,4
DS-D15,DesPlaines Middle,2013-04-17 16:38:00,2013-04-17 16:58:00,14
DS-N16,NBCR Upper (NSC Confluence),2013-04-17 16:42:00,2013-04-17 17:21:00,4
DS-M101,NSC Upper (NSWRP),2013-04-17 16:43:00,2013-04-17 21:06:00,1
DS-M106E,NSC Upper (NSWRP),2013-04-17 16:45:00,2013-04-17 23:59:00,1
DS-M75,NBCR Lower (NSC Confluence),2013-04-17 16:48:00,2013-04-17 17:48:00,3
"RAPS (DS-M27, DS-M28, DS-M29)",SF SB Chicago R,2013-04-17 16:50:00,2013-04-17 23:59:00,7
DS-M70,NBCR Lower (NSC Confluence),2013-04-17 16:51:00,2013-04-17 17:40:00,3
DS-M51,SB Chicago R,2013-04-17 16:58:00,2013-04-17 17:09:00,6
DS-M49,SB Chicago R,2013-04-17 16:59:00,2013-04-17 17:19:00,6
DS-D31,DesPlaines Middle,2013-04-17 17:00:00,2013-04-17 20:43:00,14
DS-D48,DesPlaines Lower,2013-04-17 17:00:00,2013-04-17 19:07:00,15
DS-D15,DesPlaines Middle,2013-04-17 17:00:00,2013-04-17 19:06:00,14
DS-D35,DesPlaines Middle,2013-04-17 17:00:00,2013-04-17 18:41:00,14
DS-D49,DesPlaines Lower,2013-04-17 17:01:00,2013-04-17 20:49:00,15
DS-D41,DesPlaines Lower,2013-04-17 17:01:00,2013-04-17 23:59:00,15
"DS-D37,38",Salt Cr,2013-04-17 17:01:00,2013-04-17 20:38:00,16
DS-M45,SB Chicago R,2013-04-17 17:01:00,2013-04-17 18:20:00,6
"DS-D37,38",Salt Cr,2013-04-17 17:02:00,2013-04-17 23:59:00,16
DS-M47,SB Chicago R,2013-04-17 17:03:00,2013-04-17 17:16:00,6
"DS-D39,42,46",Salt Cr,2013-04-17 17:04:00,2013-04-17 23:59:00,16
DS-M09,CSSC Lower (SWRP),2013-04-17 17:04:00,2013-04-17 17:23:00,9
"DS-D44,45",DesPlaines Lower,2013-04-17 17:06:00,2013-04-17 23:59:00,15
"DS-D39,42,46",Salt Cr,2013-04-17 17:06:00,2013-04-17 18:32:00,16
"DS-D19,23",DesPlaines Middle,2013-04-17 17:07:00,2013-04-17 19:04:00,14
DS-D13,DesPlaines Middle,2013-04-17 17:08:00,2013-04-17 23:59:00,14
DS-D18,DesPlaines Middle,2013-04-17 17:08:00,2013-04-17 20:31:00,14
DS-D52,DesPlaines Middle,2013-04-17 17:09:00,2013-04-17 23:59:00,14
"DS-D47,50,51",Salt Cr,2013-04-17 17:10:00,2013-04-17 23:59:00,16
"DS-D47,50,51",Salt Cr,2013-04-17 17:10:00,2013-04-17 23:59:00,16
TG-I12,CSSC Upper (SWRP),2013-04-17 17:12:00,2013-04-17 19:17:00,8
TG-I9,CSSC Upper (SWRP),2013-04-17 17:13:00,2013-04-17 18:43:00,8
DS-M38,SB Chicago R,2013-04-17 17:18:00,2013-04-17 19:01:00,6
DS-M51,SB Chicago R,2013-04-17 17:19:00,2013-04-17 18:28:00,6
DS-M10,CSSC Lower (SWRP),2013-04-17 17:20:00,2013-04-17 23:59:00,9
TG-I28 & I29,SB Chicago R,2013-04-17 17:21:00,2013-04-17 18:37:00,6
DS-D07,DesPlaines Upper,2013-04-17 17:22:00,2013-04-17 23:59:00,13
DS-D06,DesPlaines Upper,2013-04-17 17:26:00,2013-04-17 23:59:00,13
DS-M19,CSSC Upper (SWRP),2013-04-17 17:32:00,2013-04-17 19:09:00,8
DS-M21,CSSC Upper (SWRP),2013-04-17 17:34:00,2013-04-17 23:59:00,8
DS-M26,SF SB Chicago R,2013-04-17 17:34:00,2013-04-17 18:52:00,7
DS-D36,DesPlaines Middle,2013-04-17 17:46:00,2013-04-17 18:59:00,14
DS-N10A,NBCR Upper (NSC Confluence),2013-04-17 17:50:00,2013-04-17 23:59:00,4
DS-D10,DesPlaines Middle,2013-04-17 18:26:00,2013-04-17 18:41:00,14
DS-M25,SB Chicago R,2013-04-17 18:44:00,2013-04-17 19:41:00,6
DS-M30,SF SB Chicago R,2013-04-17 18:45:00,2013-04-17 20:41:00,7
DS-D36,DesPlaines Middle,2013-04-17 19:19:00,2013-04-17 20:14:00,14
DS-D15,DesPlaines Middle,2013-04-17 19:28:00,2013-04-17 20:14:00,14
DS-D48,DesPlaines Lower,2013-04-17 19:39:00,2013-04-17 20:38:00,15
DS-D10,DesPlaines Middle,2013-04-17 21:08:00,2013-04-17 22:10:00,14
DS-D31,DesPlaines Middle,2013-04-17 21:13:00,2013-04-17 23:59:00,14
DS-D48,DesPlaines Lower,2013-04-17 21:20:00,2013-04-17 23:59:00,15
DS-D49,DesPlaines Lower,2013-04-17 21:23:00,2013-04-17 23:59:00,15
DS-D15,DesPlaines Middle,2013-04-17 21:26:00,2013-04-17 22:35:00,14
DS-D36,DesPlaines Middle,2013-04-17 21:26:00,2013-04-17 23:59:00,14
"DS-D37,38",Salt Cr,2013-04-17 21:26:00,2013-04-17 22:25:00,16
DS-M101,NSC Upper (NSWRP),2013-04-17 21:46:00,2013-04-17 23:59:00,1
DS-D35,DesPlaines Middle,2013-04-17 21:51:00,2013-04-17 22:15:00,14
DS-M66,NBCR Lower (NSC Confluence),2013-04-17 21:51:00,2013-04-17 23:59:00,3
DS-M13,CSSC Upper (SWRP),2013-04-17 21:52:00,2013-04-17 23:59:00,8
002 Lemont WRP,CSSC Lower (SWRP),2013-04-17 21:52:00,2013-04-18 00:00:00,9
DS-M104,NSC Upper (NSWRP),2013-04-17 21:53:00,2013-04-17 23:59:00,1
DS-M20,CSSC Upper (SWRP),2013-04-17 22:01:00,2013-04-17 23:59:00,8
TG-I12,CSSC Upper (SWRP),2013-04-17 22:42:00,2013-04-17 23:59:00,8
DS-M38,SB Chicago R,2013-04-17 22:59:00,2013-04-17 23:28:00,6
TG-I9,CSSC Upper (SWRP),2013-04-17 23:02:00,2013-04-17 23:12:00,8
DS-N03,NBCR Upper (NSC Confluence),2013-04-17 23:03:00,2013-04-17 23:16:00,4
TG-I9,CSSC Upper (SWRP),2013-04-17 23:21:00,2013-04-17 23:59:00,8
DS-D10,DesPlaines Middle,2013-04-17 23:29:00,2013-04-17 23:59:00,14
DS-D15,DesPlaines Middle,2013-04-17 23:32:00,2013-04-17 23:59:00,14
DS-D35,DesPlaines Middle,2013-04-17 23:42:00,2013-04-17 23:59:00,14
DS-M38,SB Chicago R,2013-04-17 23:52:00,2013-04-17 23:59:00,6
DS-N03,NBCR Upper (NSC Confluence),2013-04-17 23:52:00,2013-04-17 23:59:00,4
DS-D15,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 22:32:00,14
DS-M88,NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 18:23:00,3
"RAPS (DS-M27, DS-M28, DS-M29)",SF SB Chicago R,2013-04-18 00:00:00,2013-04-18 23:59:00,7
DS-M08,CSSC Lower (SWRP),2013-04-18 00:00:00,2013-04-18 22:55:00,9
DS-D35,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 23:59:00,14
DS-D36,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 15:39:00,14
DS-M82,NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:48:00,3
DS-M84,NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:36:00,3
DS-M03,CSSC Lower (SWRP),2013-04-18 00:00:00,2013-04-18 23:59:00,9
TG-I9,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 12:15:00,8
DS-D31,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 16:21:00,14
DS-M109 N,NSC Upper (NSWRP),2013-04-18 00:00:00,2013-04-18 23:59:00,1
DS-D07,DesPlaines Upper,2013-04-18 00:00:00,2013-04-18 12:21:00,13
DS-D06,DesPlaines Upper,2013-04-18 00:00:00,2013-04-18 19:05:00,13
DS-N08,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:59:00,4
DS-N03,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 07:13:00,4
DS-M79,NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 17:02:00,3
DS-N02,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 18:47:00,4
WCPS (DS-D34-AI),Addison Cr,2013-04-18 00:00:00,2013-04-18 23:59:00,23
DS-M105W,NSC Upper (NSWRP),2013-04-18 00:00:00,2013-04-18 23:59:00,1
DS-M10,CSSC Lower (SWRP),2013-04-18 00:00:00,2013-04-18 17:38:00,9
DS-M13,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 13:11:00,8
DS-M15,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 23:59:00,8
DS-N13R,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 19:54:00,4
DS-M66,NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 16:48:00,3
DS-D13,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 23:59:00,14
TG-I12,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 12:20:00,8
DS-D48,DesPlaines Lower,2013-04-18 00:00:00,2013-04-18 18:42:00,15
DS-M21,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 11:30:00,8
DS-M20,CSSC Upper (SWRP),2013-04-18 00:00:00,2013-04-18 16:57:00,8
DS-D52,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 23:59:00,14
"DS-D37,38",Salt Cr,2013-04-18 00:00:00,2013-04-18 23:59:00,16
DS-M104,NSC Upper (NSWRP),2013-04-18 00:00:00,2013-04-18 19:08:00,1
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:59:00,3
DS-D49,DesPlaines Lower,2013-04-18 00:00:00,2013-04-18 23:59:00,15
"DS-D47,50,51",Salt Cr,2013-04-18 00:00:00,2013-04-18 23:59:00,16
DS-M101,NSC Upper (NSWRP),2013-04-18 00:00:00,2013-04-18 15:57:00,1
DS-N18,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 22:40:00,4
DS-M38,SB Chicago R,2013-04-18 00:00:00,2013-04-18 12:40:00,6
DS-D41,DesPlaines Lower,2013-04-18 00:00:00,2013-04-18 23:59:00,15
"DS-D39,42,46",Salt Cr,2013-04-18 00:00:00,2013-04-18 23:59:00,16
DS-N17,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 16:38:00,4
DS-M106E,NSC Upper (NSWRP),2013-04-18 00:00:00,2013-04-18 23:59:00,1
DS-N10B,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:59:00,4
DS-N10A,NBCR Upper (NSC Confluence),2013-04-18 00:00:00,2013-04-18 23:59:00,4
DS-D10,DesPlaines Middle,2013-04-18 00:00:00,2013-04-18 11:36:00,14
"DS-D47,50,51",Salt Cr,2013-04-18 00:00:00,2013-04-18 12:26:00,16
"DS-D44,45",DesPlaines Lower,2013-04-18 00:00:00,2013-04-18 23:59:00,15
CDS-20,Little Cal R (North),2013-04-18 00:01:00,2013-04-18 23:59:00,19
CDS-18,Little Cal R (North),2013-04-18 00:01:00,2013-04-18 23:59:00,19
002 Lemont WRP,CSSC Lower (SWRP),2013-04-18 00:01:00,2013-04-18 23:59:00,9
CDS-21,Grand Cal R,2013-04-18 00:01:00,2013-04-18 23:59:00,18
95TH ST PS (CDS-34),Cal R,2013-04-18 00:01:00,2013-04-18 00:15:00,17
TG-I28 & I29,SB Chicago R,2013-04-18 00:01:00,2013-04-18 11:14:00,6
CDS-22,Grand Cal R,2013-04-18 00:02:00,2013-04-18 23:59:00,18
PULASKI RD PS (18E-PS),Cal Sag Ch,2013-04-18 00:03:00,2013-04-18 23:59:00,21
"DS-D37,38",Salt Cr,2013-04-18 00:03:00,2013-04-18 08:21:00,16
DS-D28,DesPlaines Middle,2013-04-18 00:04:00,2013-04-18 07:22:00,14
CDS-55,Little Cal R (South),2013-04-18 00:04:00,2013-04-18 23:59:00,20
DS-N19,NBCR Upper (NSC Confluence),2013-04-18 00:07:00,2013-04-18 21:11:00,4
CDS-15-1,Little Cal R (North),2013-04-18 00:10:00,2013-04-18 23:59:00,19
CDS-4,Cal Sag Ch,2013-04-18 00:12:00,2013-04-18 23:59:00,21
CDS-2,Cal Sag Ch,2013-04-18 00:12:00,2013-04-18 23:59:00,21
CDS-14,Little Cal R (North),2013-04-18 00:12:00,2013-04-18 23:01:00,19
CDS-14,Little Cal R (North),2013-04-18 00:12:00,2013-04-18 23:01:00,19
CDS-10,Cal Sag Ch,2013-04-18 00:12:00,2013-04-18 23:59:00,21
DS-M73,NBCR Lower (NSC Confluence),2013-04-18 00:13:00,2013-04-18 21:36:00,3
CDS-8,Cal Sag Ch,2013-04-18 00:14:00,2013-04-18 23:59:00,21
CDS-39,Little Cal R (South),2013-04-18 00:15:00,2013-04-18 09:36:00,20
125TH ST PS (CDS-13),Little Cal R (North),2013-04-18 00:15:00,2013-04-18 23:59:00,19
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 00:16:00,2013-04-18 11:29:00,3
"DS-D19,23",DesPlaines Middle,2013-04-18 00:19:00,2013-04-18 10:07:00,14
CDS-41,Little Cal R (South),2013-04-18 00:20:00,2013-04-18 11:20:00,20
CDS-42,Little Cal R (South),2013-04-18 00:20:00,2013-04-18 03:53:00,20
DS-M51,SB Chicago R,2013-04-18 00:22:00,2013-04-18 04:17:00,6
DS-M25,SB Chicago R,2013-04-18 00:27:00,2013-04-18 16:51:00,6
DS-N04,NBCR Upper (NSC Confluence),2013-04-18 00:28:00,2013-04-18 10:09:00,4
CDS-12,Little Cal R (North),2013-04-18 00:29:00,2013-04-18 21:11:00,19
DS-N06,NBCR Upper (NSC Confluence),2013-04-18 00:30:00,2013-04-18 14:13:00,4
DS-M70,NBCR Lower (NSC Confluence),2013-04-18 00:32:00,2013-04-18 04:24:00,3
DS-N16,NBCR Upper (NSC Confluence),2013-04-18 00:33:00,2013-04-18 01:23:00,4
TGNASH,CSSC Upper (SWRP),2013-04-18 00:39:00,2013-04-18 00:47:00,8
TG-I32,SB Chicago R,2013-04-18 00:44:00,2013-04-18 11:12:00,6
DS-M49,SB Chicago R,2013-04-18 00:45:00,2013-04-18 11:12:00,6
NBPS (DS-M90 & DS-M91),NBCR Lower (NSC Confluence),2013-04-18 00:45:00,2013-04-18 17:21:00,3
DS-M45,SB Chicago R,2013-04-18 00:47:00,2013-04-18 03:10:00,6
"DS-D39,42,46",Salt Cr,2013-04-18 00:47:00,2013-04-18 07:15:00,16
TG-M16,CSSC Upper (SWRP),2013-04-18 00:48:00,2013-04-18 21:21:00,8
DS-M47,SB Chicago R,2013-04-18 00:50:00,2013-04-18 15:15:00,6
DS-M19,CSSC Upper (SWRP),2013-04-18 00:53:00,2013-04-18 11:33:00,8
TG-M22,CSSC Upper (SWRP),2013-04-18 00:54:00,2013-04-18 11:31:00,8
DS-M86,NBCR Lower (NSC Confluence),2013-04-18 00:54:00,2013-04-18 01:32:00,3
DS-N11,NBCR Upper (NSC Confluence),2013-04-18 00:55:00,2013-04-18 11:20:00,4
DS-M11,CSSC Lower (SWRP),2013-04-18 00:56:00,2013-04-18 23:43:00,9
DS-N07,NBCR Upper (NSC Confluence),2013-04-18 00:56:00,2013-04-18 15:56:00,4
TGNASH,CSSC Upper (SWRP),2013-04-18 01:02:00,2013-04-18 01:23:00,8
